loss,penalty,alpha,l1_ratio,learning_rate,eta0,power_t,max_iter,epsilon,average,train_R2,test_R2,test_RMSE,test_MAE
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.5,4000,0.01,False,0.17782434186113327,0.12891904692630274,0.15208335821467345,0.11603408220201485
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.5,8000,0.01,False,0.17782434186113327,0.12891904692630274,0.15208335821467345,0.11603408220201485
squared_error,l2,0.0001,0.2,invscaling,0.001,0.5,4000,0.01,False,0.17782516751744404,0.12891860732346927,0.15208339659013473,0.11603420900727013
squared_error,l2,0.0001,0.2,invscaling,0.001,0.5,8000,0.01,False,0.17782516751744404,0.12891860732346927,0.15208339659013473,0.11603420900727013
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.5,4000,0.01,False,0.1778231235158173,0.12891846846702626,0.15208340871171075,0.1160341216190179
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.5,8000,0.01,False,0.1778231235158173,0.12891846846702626,0.15208340871171075,0.1160341216190179
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.5,4000,0.01,False,0.1778223497309661,0.12891836359784148,0.15208341786634327,0.11603409817277112
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.5,8000,0.01,False,0.1778223497309661,0.12891836359784148,0.15208341786634327,0.11603409817277112
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.5,4000,0.01,False,0.17781714690259143,0.12891641772661144,0.15208358773250147,0.11603416953006243
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.5,8000,0.01,False,0.17781714690259143,0.12891641772661144,0.15208358773250147,0.11603416953006243
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.5,4000,0.01,False,0.1778111697569178,0.12891436529954126,0.15208376690031894,0.11603421743820105
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.5,8000,0.01,False,0.1778111697569178,0.12891436529954126,0.15208376690031894,0.11603421743820105
