loss,penalty,alpha,l1_ratio,learning_rate,eta0,power_t,max_iter,epsilon,average,cv_mean_R2,cv_std_R2,cv_mean_RMSE,cv_mean_MAE,cv_mean_train_R2
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,8000,0.01,True,0.23410724255734985,0.005758474916191483,0.15476234041161285,0.11425062342849968,0.24709347661715286
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,4000,0.01,True,0.2340766886802914,0.005781201664497229,0.1547653939824725,0.11425482479672937,0.24704312395602646
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,8000,0.01,True,0.2340766886802914,0.005781201664497229,0.1547653939824725,0.11425482479672937,0.24704312395602646
huber,l2,3e-05,0.2,optimal,0.001,0.25,4000,0.01,True,0.23253129994683297,0.06423137863559768,0.15481844164191494,0.10714109793651488,0.2693669423793195
huber,l2,3e-05,0.2,optimal,0.001,0.25,8000,0.01,True,0.23253129994683297,0.06423137863559768,0.15481844164191494,0.10714109793651488,0.2693669423793195
huber,l2,1e-05,0.2,optimal,0.001,0.25,4000,0.01,True,0.2197599482770428,0.031227923712598485,0.15622970133150874,0.10836032353407554,0.15824245217713498
huber,l2,1e-05,0.2,optimal,0.001,0.25,8000,0.01,True,0.2197599482770428,0.031227923712598485,0.15622970133150874,0.10836032353407554,0.15824245217713498
huber,l2,3e-05,0.2,optimal,0.001,0.25,4000,0.03,True,0.20854193973757595,0.04591998396418638,0.1573447267074857,0.11021940121906897,-0.3019021797137303
huber,l2,3e-05,0.2,optimal,0.001,0.25,8000,0.03,True,0.20854193973757595,0.04591998396418638,0.1573447267074857,0.11021940121906897,-0.3019021797137303
huber,elasticnet,1e-06,0.2,optimal,0.001,0.25,4000,0.01,True,0.1291707907668241,0.05454627997232109,0.1649905828776854,0.11726262766185348,-0.4455508816249149
huber,elasticnet,1e-06,0.2,optimal,0.001,0.25,8000,0.01,True,0.1291707907668241,0.05454627997232109,0.1649905828776854,0.11726262766185348,-0.4455508816249149
huber,l2,1e-06,0.2,optimal,0.001,0.25,4000,0.01,True,0.1064083880333645,0.0898458671718123,0.16709783057956554,0.11668746325065975,-0.467909390186517
huber,l2,1e-06,0.2,optimal,0.001,0.25,8000,0.01,True,0.1064083880333645,0.0898458671718123,0.16709783057956554,0.11668746325065975,-0.467909390186517
huber,l2,1e-05,0.2,optimal,0.001,0.25,4000,0.03,True,0.021167897484386633,0.33204255065789734,0.17282037167881312,0.1171497047101121,-0.6988799793218451
huber,l2,1e-05,0.2,optimal,0.001,0.25,8000,0.03,True,0.021167897484386633,0.33204255065789734,0.17282037167881312,0.1171497047101121,-0.6988799793218451
huber,l2,1e-06,0.2,invscaling,0.001,0.25,4000,0.03,True,0.006762976499215719,0.003969408313955039,0.17624993374193698,0.13698490545169617,0.012201742707202165
huber,l2,1e-06,0.2,invscaling,0.001,0.25,8000,0.03,True,0.006762976499215719,0.003969408313955039,0.17624993374193698,0.13698490545169617,0.012201742707202165
huber,l2,1e-05,0.2,invscaling,0.001,0.25,4000,0.03,True,0.0067629333265861,0.003969414086540538,0.17624993757792615,0.13698490945934264,0.01220169874801432
huber,l2,1e-05,0.2,invscaling,0.001,0.25,8000,0.03,True,0.0067629333265861,0.003969414086540538,0.17624993757792615,0.13698490945934264,0.01220169874801432
huber,l2,3e-05,0.2,invscaling,0.001,0.25,4000,0.03,True,0.006762837388234096,0.003969426914307378,0.17624994610227285,0.13698491836514515,0.012201601061768116
huber,l2,3e-05,0.2,invscaling,0.001,0.25,8000,0.03,True,0.006762837388234096,0.003969426914307378,0.17624994610227285,0.13698491836514515,0.012201601061768116
huber,l2,0.0001,0.2,invscaling,0.001,0.25,4000,0.03,True,0.0067625016129439315,0.003969471809307633,0.1762499759366877,0.1369849495346023,0.012201259168994172
huber,l2,0.0001,0.2,invscaling,0.001,0.25,8000,0.03,True,0.0067625016129439315,0.003969471809307633,0.1762499759366877,0.1369849495346023,0.012201259168994172
huber,elasticnet,1e-06,0.2,invscaling,0.001,0.25,4000,0.03,True,0.006762282306806311,0.00396943265432181,0.17624999534495842,0.13698497345474436,0.012201046159003451
huber,elasticnet,1e-06,0.2,invscaling,0.001,0.25,8000,0.03,True,0.006762282306806311,0.00396943265432181,0.17624999534495842,0.13698497345474436,0.012201046159003451
huber,elasticnet,1e-06,0.5,invscaling,0.001,0.25,4000,0.03,True,0.006761241014065833,0.003969469165394316,0.17625008774981654,0.1369850754591615,0.012200001333609581
huber,elasticnet,1e-06,0.5,invscaling,0.001,0.25,8000,0.03,True,0.006761241014065833,0.003969469165394316,0.17625008774981654,0.1369850754591615,0.012200001333609581
huber,elasticnet,1e-06,0.8,invscaling,0.001,0.25,4000,0.03,True,0.006760199716287866,0.003969505677212865,0.17625018015507346,0.13698517746351133,0.01219895650364966
huber,elasticnet,1e-06,0.8,invscaling,0.001,0.25,8000,0.03,True,0.006760199716287866,0.003969505677212865,0.17625018015507346,0.13698517746351133,0.01219895650364966
huber,elasticnet,1e-05,0.2,invscaling,0.001,0.25,4000,0.03,True,0.0067559913054941285,0.003969657505253904,0.17625055361577066,0.13698558948811998,0.012194733177925817
huber,elasticnet,1e-05,0.2,invscaling,0.001,0.25,8000,0.03,True,0.0067559913054941285,0.003969657505253904,0.17625055361577066,0.13698558948811998,0.012194733177925817
huber,elasticnet,1e-05,0.5,invscaling,0.001,0.25,4000,0.03,True,0.006745577883326674,0.003970022659790005,0.17625147770316044,0.1369866095273938,0.012184284437899021
huber,elasticnet,1e-05,0.5,invscaling,0.001,0.25,8000,0.03,True,0.006745577883326674,0.003970022659790005,0.17625147770316044,0.1369866095273938,0.012184284437899021
huber,elasticnet,3e-05,0.2,invscaling,0.001,0.25,4000,0.03,True,0.0067420107285705395,0.003970157212881668,0.17625179426219137,0.13698695844174902,0.012180703766051034
huber,elasticnet,3e-05,0.2,invscaling,0.001,0.25,8000,0.03,True,0.0067420107285705395,0.003970157212881668,0.17625179426219137,0.13698695844174902,0.012180703766051034
huber,elasticnet,1e-05,0.8,invscaling,0.001,0.25,4000,0.03,True,0.006735163988211057,0.00397038786363606,0.17625240182770152,0.13698762956282695,0.01217383523010481
huber,elasticnet,1e-05,0.8,invscaling,0.001,0.25,8000,0.03,True,0.006735163988211057,0.00397038786363606,0.17625240182770152,0.13698762956282695,0.01217383523010481
huber,elasticnet,3e-05,0.5,invscaling,0.001,0.25,4000,0.03,True,0.006710767089308252,0.003971253162745464,0.17625456678987347,0.13699001853283485,0.012149354253204589
huber,elasticnet,3e-05,0.5,invscaling,0.001,0.25,8000,0.03,True,0.006710767089308252,0.003971253162745464,0.17625456678987347,0.13699001853283485,0.012149354253204589
huber,elasticnet,0.0001,0.2,invscaling,0.001,0.25,4000,0.03,True,0.006693072060299565,0.003971907242876501,0.17625613704642284,0.13699174971740033,0.012131594308612548
huber,elasticnet,0.0001,0.2,invscaling,0.001,0.25,8000,0.03,True,0.006693072060299565,0.003971907242876501,0.17625613704642284,0.13699174971740033,0.012131594308612548
huber,elasticnet,3e-05,0.8,invscaling,0.001,0.25,4000,0.03,True,0.0066795507288829326,0.003972305453794159,0.1762573368287754,0.1369930772179727,0.012118007842346623
huber,elasticnet,3e-05,0.8,invscaling,0.001,0.25,8000,0.03,True,0.0066795507288829326,0.003972305453794159,0.1762573368287754,0.1369930772179727,0.012118007842346623
huber,elasticnet,0.0001,0.5,invscaling,0.001,0.25,4000,0.03,True,0.006591349336638519,0.003972132266173589,0.17626516151547944,0.13700184084115793,0.012027648786913536
huber,elasticnet,0.0001,0.5,invscaling,0.001,0.25,8000,0.03,True,0.006591349336638519,0.003972132266173589,0.17626516151547944,0.13700184084115793,0.012027648786913536
huber,elasticnet,0.0001,0.8,invscaling,0.001,0.25,4000,0.03,True,0.006345670960656413,0.004172990510216079,0.17628706916778838,0.13702955437994555,0.011766299334357763
huber,elasticnet,0.0001,0.8,invscaling,0.001,0.25,8000,0.03,True,0.006345670960656413,0.004172990510216079,0.17628706916778838,0.13702955437994555,0.011766299334357763
huber,l2,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.0014947602071491521,0.004042379682117128,0.17698131507437798,0.13786741478322287,0.003699246749836164
huber,l2,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.0014947602071491521,0.004042379682117128,0.17698131507437798,0.13786741478322287,0.003699246749836164
huber,l2,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.001494771837735942,0.004042378504438772,0.1769813161012569,0.13786741582844123,0.0036992348408851163
huber,l2,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.001494771837735942,0.004042378504438772,0.1769813161012569,0.13786741582844123,0.0036992348408851163
huber,l2,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.001494797683288418,0.00404237588739722,0.17698131838319286,0.137867418151131,0.00369920837675027
huber,l2,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.001494797683288418,0.00404237588739722,0.17698131838319286,0.137867418151131,0.00369920837675027
huber,l2,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.001494888140593657,0.00404236672798564,0.17698132636978048,0.137867426280353,0.0036991157544585076
huber,l2,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.001494888140593657,0.00404236672798564,0.17698132636978048,0.137867426280353,0.0036991157544585076
huber,elasticnet,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.001495370423332661,0.004042291901685912,0.17698136891668584,0.137867473939591,0.0036986155785349397
huber,elasticnet,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.001495370423332661,0.004042291901685912,0.17698136891668584,0.137867473939591,0.0036986155785349397
huber,elasticnet,1e-06,0.5,invscaling,0.001,0.25,4000,0.01,True,-0.001496285751049024,0.004042160231247713,0.17698144968041993,0.1378675626741467,0.00369766881799131
huber,elasticnet,1e-06,0.5,invscaling,0.001,0.25,8000,0.01,True,-0.001496285751049024,0.004042160231247713,0.17698144968041993,0.1378675626741467,0.00369766881799131
huber,elasticnet,1e-06,0.8,invscaling,0.001,0.25,4000,0.01,True,-0.0014972010828943432,0.0040420285610597816,0.17698153044448062,0.13786765140870652,0.0036967220531368325
huber,elasticnet,1e-06,0.8,invscaling,0.001,0.25,8000,0.01,True,-0.0014972010828943432,0.0040420285610597816,0.17698153044448062,0.13786765140870652,0.0036967220531368325
huber,elasticnet,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.0015008740777211111,0.004041500704745804,0.17698185453047355,0.13786800739178906,0.003692923045640506
huber,elasticnet,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.0015008740777211111,0.004041500704745804,0.17698185453047355,0.13786800739178906,0.003692923045640506
huber,elasticnet,1e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,-0.0015101601885636473,0.004040369528899181,0.17698267400497472,0.13786890054330697,0.003683423925192053
huber,elasticnet,1e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,-0.0015101601885636473,0.004040369528899181,0.17698267400497472,0.13786890054330697,0.003683423925192053
huber,elasticnet,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.0015133080840886715,0.0040400271461823465,0.17698295182250723,0.13786920174774472,0.0036802247746650085
huber,elasticnet,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.0015133080840886715,0.0040400271461823465,0.17698295182250723,0.13786920174774472,0.0036802247746650085
huber,elasticnet,1e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,-0.0015195265831688214,0.004039350270908496,0.1769835006321435,0.13786979719796472,0.0036739056424645775
huber,elasticnet,1e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,-0.0015195265831688214,0.004039350270908496,0.1769835006321435,0.13786979719796472,0.0036739056424645775
huber,elasticnet,3e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,-0.001541408842870647,0.004036969389794684,0.17698543182725746,0.13787189170936767,0.00365166829860634
huber,elasticnet,3e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,-0.001541408842870647,0.004036969389794684,0.17698543182725746,0.13787189170936767,0.00365166829860634
huber,elasticnet,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,-0.001557112062560188,0.004035261467989784,0.17698681768721605,0.13787339423106104,0.0036357096555548565
huber,elasticnet,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,-0.001557112062560188,0.004035261467989784,0.17698681768721605,0.13787339423106104,0.0036357096555548565
huber,elasticnet,3e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,-0.0015695132323499579,0.004033911664474644,0.1769879121170529,0.13787458167452304,0.003623108073217085
huber,elasticnet,3e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,-0.0015695132323499579,0.004033911664474644,0.1769879121170529,0.13787458167452304,0.003623108073217085
huber,elasticnet,0.0001,0.5,invscaling,0.001,0.25,4000,0.01,True,-0.001650813652864569,0.004025069335700776,0.17699508690734037,0.13788236074446894,0.003540487936431728
huber,elasticnet,0.0001,0.5,invscaling,0.001,0.25,8000,0.01,True,-0.001650813652864569,0.004025069335700776,0.17699508690734037,0.13788236074446894,0.003540487936431728
huber,elasticnet,0.0001,0.8,invscaling,0.001,0.25,4000,0.01,True,-0.0017440138743458622,0.004015376588486332,0.17700331011807754,0.13789136205032118,0.003446959290855182
huber,elasticnet,0.0001,0.8,invscaling,0.001,0.25,8000,0.01,True,-0.0017440138743458622,0.004015376588486332,0.17700331011807754,0.13789136205032118,0.003446959290855182
huber,elasticnet,1e-05,0.2,optimal,0.001,0.25,4000,0.01,True,-0.49761037225483457,0.11048267903734448,0.2161696470475973,0.1555098852937259,-0.7531092931336145
huber,elasticnet,1e-05,0.2,optimal,0.001,0.25,8000,0.01,True,-0.49761037225483457,0.11048267903734448,0.2161696470475973,0.1555098852937259,-0.7531092931336145
huber,elasticnet,1e-06,0.5,optimal,0.001,0.25,4000,0.01,True,-0.7389005783735874,0.4267560056301467,0.23130479989434247,0.1651185375919493,-1.2964877397139007
huber,elasticnet,1e-06,0.5,optimal,0.001,0.25,8000,0.01,True,-0.7389005783735874,0.4267560056301467,0.23130479989434247,0.1651185375919493,-1.2964877397139007
huber,elasticnet,3e-05,0.2,optimal,0.001,0.25,4000,0.01,True,-0.8599948602410085,0.49673128862076554,0.23862605247110077,0.18471716217551984,-1.4263801781757426
huber,elasticnet,3e-05,0.2,optimal,0.001,0.25,8000,0.01,True,-0.8599948602410085,0.49673128862076554,0.23862605247110077,0.18471716217551984,-1.4263801781757426
huber,l2,1e-06,0.2,optimal,0.001,0.25,4000,0.03,True,-0.881385517327657,0.5839605546817668,0.24017898352469078,0.14166796597039458,-6.744522584679488
huber,l2,1e-06,0.2,optimal,0.001,0.25,8000,0.03,True,-0.881385517327657,0.5839605546817668,0.24017898352469078,0.14166796597039458,-6.744522584679488
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,4000,0.01,True,-1.009650764380931,0.31462135237774064,0.24962391586547572,0.19284735523863814,-1.3270782933459968
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,8000,0.01,True,-1.009650764380931,0.31462135237774064,0.24962391586547572,0.19284735523863814,-1.3270782933459968
huber,elasticnet,1e-05,0.2,optimal,0.001,0.25,4000,0.03,True,-1.135560171882839,0.5619932500555551,0.25564369514413793,0.1916999541331614,-1.4887799473692518
huber,elasticnet,1e-05,0.2,optimal,0.001,0.25,8000,0.03,True,-1.135560171882839,0.5619932500555551,0.25564369514413793,0.1916999541331614,-1.4887799473692518
huber,elasticnet,3e-05,0.2,optimal,0.001,0.25,4000,0.03,True,-1.6599683150154174,0.5095017856789724,0.2866910329738606,0.22135923176459152,-1.958631489194118
huber,elasticnet,3e-05,0.2,optimal,0.001,0.25,8000,0.03,True,-1.6599683150154174,0.5095017856789724,0.2866910329738606,0.22135923176459152,-1.958631489194118
huber,elasticnet,1e-06,0.8,optimal,0.001,0.25,4000,0.01,True,-1.7234175499293727,0.5984660306353045,0.28959331711491926,0.21143591157444033,-1.6775099103175084
huber,elasticnet,1e-06,0.8,optimal,0.001,0.25,8000,0.01,True,-1.7234175499293727,0.5984660306353045,0.28959331711491926,0.21143591157444033,-1.6775099103175084
huber,elasticnet,1e-06,0.2,optimal,0.001,0.25,4000,0.03,True,-1.7403998903094855,1.1373098000173694,0.2859576623806969,0.14872028809098775,-6.3145634400643225
huber,elasticnet,1e-06,0.2,optimal,0.001,0.25,8000,0.03,True,-1.7403998903094855,1.1373098000173694,0.2859576623806969,0.14872028809098775,-6.3145634400643225
huber,elasticnet,1e-05,0.5,optimal,0.001,0.25,4000,0.01,True,-2.161454948270885,0.44687312430379034,0.31387485246576174,0.23826865644912418,-2.6544848278815287
huber,elasticnet,1e-05,0.5,optimal,0.001,0.25,8000,0.01,True,-2.161454948270885,0.44687312430379034,0.31387485246576174,0.23826865644912418,-2.6544848278815287
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,4000,0.03,True,-2.219514472850062,0.17361218956035226,0.31714063092876066,0.24003872672943624,-2.3458179192530038
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,8000,0.03,True,-2.219514472850062,0.17361218956035226,0.31714063092876066,0.24003872672943624,-2.3458179192530038
huber,elasticnet,1e-05,0.8,optimal,0.001,0.25,4000,0.01,True,-3.1658380628917295,0.8264784289717431,0.3586417913885069,0.2698266943886703,-3.2758715935346916
huber,elasticnet,1e-05,0.8,optimal,0.001,0.25,8000,0.01,True,-3.1658380628917295,0.8264784289717431,0.3586417913885069,0.2698266943886703,-3.2758715935346916
huber,elasticnet,3e-05,0.5,optimal,0.001,0.25,4000,0.01,True,-3.401554952790955,0.6173043165351174,0.3697338347617886,0.27800253643528317,-3.651841526342752
huber,elasticnet,3e-05,0.5,optimal,0.001,0.25,8000,0.01,True,-3.401554952790955,0.6173043165351174,0.3697338347617886,0.27800253643528317,-3.651841526342752
huber,elasticnet,1e-06,0.5,optimal,0.001,0.25,4000,0.03,True,-3.4224631443837943,2.7728173418076576,0.3549483218290576,0.19493724531428716,-6.7260270025427085
huber,elasticnet,1e-06,0.5,optimal,0.001,0.25,8000,0.03,True,-3.4224631443837943,2.7728173418076576,0.3549483218290576,0.19493724531428716,-6.7260270025427085
huber,elasticnet,0.0001,0.5,optimal,0.001,0.25,4000,0.01,True,-3.6349782831023574,0.6041191412192479,0.3795235827417211,0.28879127216178574,-3.970328398328201
huber,elasticnet,0.0001,0.5,optimal,0.001,0.25,8000,0.01,True,-3.6349782831023574,0.6041191412192479,0.3795235827417211,0.28879127216178574,-3.970328398328201
huber,elasticnet,1e-06,0.8,optimal,0.001,0.25,4000,0.03,True,-4.208527355974893,3.3978054153807347,0.3845921417471288,0.20446946103372798,-2.422119949925865
huber,elasticnet,1e-06,0.8,optimal,0.001,0.25,8000,0.03,True,-4.208527355974893,3.3978054153807347,0.3845921417471288,0.20446946103372798,-2.422119949925865
